top_left,top_middle,top_right,mid_left,mid_middle,mid_right,bot_left,bot_middle,bot_right,classe_final
0,0,0,1,-1,0,0,0,0,Tem jogo
0,0,0,0,0,1,0,0,0,Tem jogo
1,0,0,0,0,0,0,0,0,Tem jogo
0,0,0,0,0,1,0,0,0,Tem jogo
0,1,0,0,0,-1,1,-1,0,Tem jogo
1,-1,0,1,0,0,-1,0,0,Tem jogo
0,1,0,0,0,0,0,0,0,Tem jogo
0,0,0,0,1,-1,0,0,0,Tem jogo
0,1,0,0,0,0,0,0,0,Tem jogo
0,0,-1,1,1,-1,0,0,0,Possibilidade de fim de jogo
0,0,0,1,0,0,0,0,-1,Tem jogo
0,1,0,0,0,-1,1,0,0,Tem jogo
0,0,0,0,0,0,0,1,-1,Tem jogo
0,0,0,0,1,0,0,0,0,Tem jogo
-1,0,0,0,0,1,1,-1,0,Tem jogo
0,0,0,0,0,0,0,1,0,Tem jogo
0,0,1,0,0,0,0,0,0,Tem jogo
0,0,-1,1,0,0,1,-1,0,Possibilidade de fim de jogo
0,1,0,-1,0,0,0,0,0,Tem jogo
0,1,0,0,-1,0,0,0,0,Tem jogo
0,0,0,0,1,0,0,0,0,Tem jogo
0,0,0,0,0,1,0,0,0,Tem jogo
-1,0,0,1,1,-1,0,0,0,Tem jogo
0,1,1,0,-1,0,0,0,0,Possibilidade de fim de jogo
-1,0,0,1,0,0,0,0,0,Tem jogo
0,-1,1,1,0,0,0,0,-1,Tem jogo
0,0,0,-1,1,1,0,0,0,Tem jogo
1,0,0,0,0,0,0,0,0,Tem jogo
0,0,0,0,0,1,-1,0,0,Tem jogo
1,0,0,0,0,0,-1,0,0,Tem jogo
0,0,1,0,0,0,0,0,0,Tem jogo
0,-1,0,1,0,0,0,0,0,Tem jogo
0,-1,0,0,0,0,1,0,0,Tem jogo
0,0,0,0,1,0,0,0,0,Tem jogo
0,0,0,1,0,1,-1,0,0,Possibilidade de fim de jogo
1,0,0,-1,0,0,0,0,1,Possibilidade de fim de jogo
1,1,0,0,0,0,0,-1,0,Possibilidade de fim de jogo
0,0,-1,1,1,0,0,-1,0,Possibilidade de fim de jogo
0,-1,0,1,-1,0,1,0,0,Possibilidade de fim de jogo
0,0,0,0,0,0,1,0,0,Tem jogo
0,0,1,0,0,-1,0,0,1,Tem jogo
0,0,0,0,0,1,0,0,0,Tem jogo
0,1,0,0,-1,0,1,0,0,Tem jogo
0,0,1,0,0,0,0,0,-1,Tem jogo
0,0,0,1,0,0,-1,0,0,Tem jogo
0,0,0,1,0,0,0,-1,0,Tem jogo
-1,1,0,0,0,0,0,0,1,Tem jogo
-1,0,0,0,0,0,0,1,0,Tem jogo
0,1,1,0,0,-1,-1,0,0,Possibilidade de fim de jogo
0,-1,0,-1,1,0,1,0,0,Possibilidade de fim de jogo
0,0,0,1,0,0,0,0,0,Tem jogo
0,0,1,0,0,0,0,1,-1,Tem jogo
0,0,1,1,0,0,-1,-1,0,Possibilidade de fim de jogo
0,-1,0,1,-1,0,0,0,1,Possibilidade de fim de jogo
0,1,0,0,0,-1,0,0,0,Tem jogo
0,0,0,0,1,0,0,0,0,Tem jogo
0,1,-1,0,1,0,0,0,0,Possibilidade de fim de jogo
-1,1,0,0,0,0,0,0,0,Tem jogo
1,0,0,0,0,0,-1,0,0,Tem jogo
1,0,0,0,0,0,0,0,0,Tem jogo
0,0,1,-1,0,0,-1,0,1,Possibilidade de fim de jogo
0,0,0,0,0,0,0,0,1,Tem jogo
1,0,0,0,0,-1,1,0,0,Possibilidade de fim de jogo
0,0,0,0,0,0,0,0,1,Tem jogo
-1,0,0,0,0,0,1,0,1,Possibilidade de fim de jogo
1,0,-1,0,0,0,1,0,-1,Possibilidade de fim de jogo
0,0,0,0,0,0,0,1,0,Tem jogo
-1,0,0,0,0,1,0,1,0,Tem jogo
0,1,0,0,0,-1,0,0,0,Tem jogo
0,0,0,-1,1,0,0,-1,1,Possibilidade de fim de jogo
0,0,0,1,0,0,0,0,-1,Tem jogo
0,0,0,0,0,0,1,0,0,Tem jogo
1,-1,0,0,0,0,0,1,-1,Tem jogo
-1,0,0,0,1,0,0,1,-1,Possibilidade de fim de jogo
0,0,0,0,0,-1,0,0,1,Tem jogo
-1,1,0,0,0,1,0,0,-1,Possibilidade de fim de jogo
0,1,1,0,0,-1,0,0,-1,Possibilidade de fim de jogo
0,0,0,-1,0,1,0,0,0,Tem jogo
0,0,0,-1,-1,1,0,1,0,Tem jogo
0,0,1,0,0,-1,1,0,-1,Possibilidade de fim de jogo
0,0,1,-1,0,0,-1,0,1,Possibilidade de fim de jogo
0,0,1,0,0,0,0,0,0,Tem jogo
0,0,0,0,0,0,1,0,0,Tem jogo
0,1,0,0,0,0,0,0,0,Tem jogo
0,0,0,0,0,0,0,1,0,Tem jogo
0,0,0,0,0,0,0,0,1,Tem jogo
0,0,0,-1,0,1,0,0,1,Possibilidade de fim de jogo
0,1,-1,0,1,0,0,0,0,Possibilidade de fim de jogo
0,0,1,0,0,0,0,0,0,Tem jogo
0,0,1,1,0,-1,-1,0,0,Tem jogo
-1,0,0,0,0,0,0,0,1,Tem jogo
0,0,0,0,0,0,0,0,1,Tem jogo
1,0,1,0,0,0,0,-1,0,Possibilidade de fim de jogo
0,0,-1,0,-1,0,1,0,1,Possibilidade de fim de jogo
0,0,0,0,0,0,0,1,0,Tem jogo
0,0,0,0,0,0,0,1,0,Tem jogo
0,0,1,0,0,0,0,0,0,Tem jogo
0,0,0,0,-1,0,0,1,0,Tem jogo
-1,0,-1,1,0,0,0,1,0,Possibilidade de fim de jogo
-1,0,0,0,1,0,0,0,0,Tem jogo
0,0,0,0,0,1,0,0,0,Tem jogo
-1,1,0,0,0,0,0,1,0,Possibilidade de fim de jogo
0,0,0,0,0,0,0,1,0,Tem jogo
0,1,0,0,0,0,0,0,0,Tem jogo
0,-1,0,0,0,0,0,1,0,Tem jogo
0,0,0,0,0,-1,1,0,0,Tem jogo
0,0,1,-1,0,0,0,1,-1,Tem jogo
0,1,0,0,1,0,0,0,-1,Possibilidade de fim de jogo
0,0,-1,0,0,0,0,1,0,Tem jogo
0,0,-1,-1,0,1,0,0,1,Tem jogo
0,0,0,0,0,1,0,0,-1,Tem jogo
0,0,0,0,0,0,0,0,1,Tem jogo
0,1,0,0,-1,0,0,0,0,Tem jogo
0,0,0,-1,0,0,1,0,0,Tem jogo
-1,0,1,0,1,-1,1,-1,1,X vence
0,1,1,-1,1,-1,-1,1,0,X vence
1,-1,0,-1,0,-1,1,1,1,X vence
1,-1,0,-1,1,0,-1,1,1,X vence
-1,0,0,-1,0,0,1,1,1,X vence
0,1,-1,-1,1,-1,1,1,0,X vence
1,-1,-1,1,0,1,1,-1,0,X vence
1,1,1,0,0,0,0,-1,-1,X vence
0,-1,1,1,1,1,0,-1,-1,X vence
1,-1,-1,1,1,1,-1,1,-1,X vence
1,0,-1,-1,1,0,0,0,1,X vence
1,1,1,-1,-1,0,0,1,-1,X vence
1,1,1,0,-1,1,0,-1,-1,X vence
1,1,-1,-1,1,-1,0,1,0,X vence
0,-1,1,0,-1,1,0,0,1,X vence
1,1,1,0,0,0,-1,0,-1,X vence
1,1,1,1,-1,-1,-1,-1,1,X vence
-1,-1,1,1,1,1,0,-1,0,X vence
-1,-1,1,0,1,-1,1,1,0,X vence
1,0,0,-1,1,1,-1,-1,1,X vence
1,-1,1,-1,1,0,0,-1,1,X vence
1,-1,-1,1,1,1,0,-1,0,X vence
1,1,1,-1,0,0,0,0,-1,X vence
0,0,0,1,1,1,0,-1,-1,X vence
-1,0,1,-1,1,0,1,0,0,X vence
1,1,0,-1,1,0,-1,-1,1,X vence
1,0,-1,1,0,0,1,-1,0,X vence
0,-1,0,1,1,1,-1,0,0,X vence
0,0,0,1,1,1,-1,0,-1,X vence
1,0,-1,1,0,-1,1,0,0,X vence
-1,1,-1,-1,-1,1,1,1,1,X vence
1,0,-1,-1,1,-1,1,0,1,X vence
1,-1,-1,0,1,0,0,0,1,X vence
-1,0,-1,1,1,1,0,-1,1,X vence
1,-1,1,-1,-1,1,-1,1,1,X vence
0,1,1,-1,1,0,1,-1,-1,X vence
-1,1,-1,-1,0,0,1,1,1,X vence
0,0,-1,1,1,1,0,0,-1,X vence
1,-1,-1,0,1,-1,0,1,1,X vence
0,0,1,-1,0,1,-1,0,1,X vence
-1,1,0,-1,1,-1,1,1,0,X vence
1,1,1,-1,0,-1,-1,1,0,X vence
1,1,-1,-1,1,1,-1,1,-1,X vence
0,0,-1,1,1,1,-1,1,-1,X vence
-1,1,-1,1,1,1,1,-1,-1,X vence
1,-1,0,-1,1,1,0,-1,1,X vence
1,0,-1,-1,1,1,0,-1,1,X vence
-1,-1,1,0,1,1,1,0,-1,X vence
1,1,-1,1,1,-1,-1,-1,1,X vence
-1,-1,1,1,1,1,-1,-1,1,X vence
0,-1,1,0,-1,1,-1,1,1,X vence
1,0,0,1,-1,0,1,-1,0,X vence
1,1,1,1,0,-1,-1,0,-1,X vence
1,0,-1,-1,1,1,-1,0,1,X vence
0,-1,-1,-1,1,0,1,1,1,X vence
-1,1,1,0,1,-1,-1,1,0,X vence
1,-1,1,-1,0,1,0,-1,1,X vence
0,0,0,-1,0,-1,1,1,1,X vence
1,-1,0,-1,1,-1,0,1,1,X vence
1,1,1,-1,-1,0,-1,0,1,X vence
0,-1,0,1,1,1,0,-1,0,X vence
-1,0,0,0,0,-1,1,1,1,X vence
1,-1,0,1,1,-1,-1,0,1,X vence
0,0,1,-1,1,-1,1,0,0,X vence
0,0,1,1,-1,1,-1,-1,1,X vence
-1,1,1,-1,1,-1,1,-1,1,X vence
1,1,1,0,-1,-1,1,-1,0,X vence
1,-1,0,1,-1,1,1,0,-1,X vence
0,-1,1,-1,1,1,-1,0,1,X vence
1,0,1,-1,0,1,-1,-1,1,X vence
1,0,-1,0,1,0,-1,0,1,X vence
1,1,1,-1,-1,1,-1,0,0,X vence
1,1,-1,1,-1,0,1,-1,0,X vence
1,-1,-1,1,-1,1,1,1,-1,X vence
0,-1,1,-1,-1,1,0,1,1,X vence
1,-1,0,0,1,0,-1,0,1,X vence
0,0,1,-1,1,1,-1,-1,1,X vence
1,1,1,0,0,-1,-1,1,-1,X vence
-1,0,1,0,0,1,-1,0,1,X vence
0,1,-1,0,1,0,-1,1,0,X vence
-1,-1,1,1,1,1,0,0,-1,X vence
1,1,1,0,-1,-1,0,1,-1,X vence
-1,-1,1,0,1,0,1,-1,1,X vence
0,1,-1,1,1,1,-1,0,-1,X vence
1,-1,0,-1,1,-1,1,0,1,X vence
0,0,1,-1,1,0,1,-1,0,X vence
-1,0,1,0,1,0,1,0,-1,X vence
0,-1,1,0,1,0,1,0,-1,X vence
1,-1,-1,-1,1,0,1,0,1,X vence
-1,-1,1,-1,1,1,1,-1,1,X vence
1,0,-1,1,-1,-1,1,0,1,X vence
-1,1,1,-1,1,-1,1,0,0,X vence
1,1,1,-1,-1,0,-1,1,0,X vence
-1,-1,1,1,0,1,0,-1,1,X vence
1,1,0,1,-1,-1,1,-1,0,X vence
1,-1,0,0,1,-1,-1,1,1,X vence
1,0,0,0,1,-1,-1,0,1,X vence
1,0,-1,0,-1,-1,1,1,1,X vence
-1,-1,1,0,-1,0,1,1,1,X vence
1,0,-1,0,1,-1,0,0,1,X vence
1,-1,0,1,0,-1,1,-1,1,X vence
0,1,-1,1,1,-1,-1,1,0,X vence
-1,1,-1,0,1,0,1,1,-1,X vence
1,0,0,1,0,-1,1,0,-1,X vence
1,0,1,-1,1,0,1,-1,-1,X vence
1,1,-1,1,-1,-1,1,0,0,X vence
-1,1,-1,0,1,0,-1,1,1,X vence
1,1,0,-1,1,0,-1,1,-1,X vence
-1,-1,1,1,1,0,1,-1,0,X vence
1,0,1,-1,1,-1,1,-1,0,X vence
1,1,1,0,-1,0,1,-1,-1,X vence
1,-1,-1,1,1,0,1,0,-1,X vence
1,1,1,0,0,-1,-1,0,0,X vence
-1,-1,1,-1,1,1,1,0,0,X vence
0,-1,0,-1,-1,1,1,1,1,X vence
1,-1,1,1,0,-1,1,-1,0,X vence
0,-1,0,-1,0,0,1,1,1,X vence
-1,1,1,0,1,-1,1,0,-1,X vence
0,-1,0,1,1,1,0,0,-1,X vence
1,-1,0,-1,1,0,1,-1,1,X vence
1,-1,1,0,1,0,1,-1,-1,X vence
-1,1,0,1,1,1,-1,0,-1,X vence
1,0,1,-1,1,-1,1,0,-1,X vence
0,0,1,0,-1,1,0,-1,1,X vence
1,-1,0,1,1,1,-1,0,-1,X vence
-1,-1,1,0,1,0,1,1,-1,X vence
-1,0,-1,0,-1,1,1,1,1,X vence
1,1,1,1,-1,0,-1,-1,0,X vence
1,1,0,1,0,-1,1,-1,-1,X vence
1,-1,1,1,1,-1,-1,-1,1,X vence
-1,0,0,1,-1,-1,1,1,1,X vence
-1,-1,1,0,0,-1,1,1,1,X vence
0,1,1,0,-1,1,-1,-1,1,X vence
0,-1,-1,1,-1,0,1,1,1,X vence
-1,0,1,1,-1,1,0,-1,1,X vence
-1,1,1,-1,1,0,1,0,-1,X vence
-1,-1,0,1,0,-1,1,1,1,X vence
0,0,-1,1,1,1,0,-1,0,X vence
1,0,0,-1,1,0,-1,0,1,X vence
0,-1,1,0,-1,-1,1,1,1,X vence
1,-1,-1,-1,0,0,1,1,1,X vence
0,0,1,-1,1,0,1,0,-1,X vence
1,1,1,-1,0,-1,0,-1,1,X vence
1,1,1,0,0,-1,0,-1,0,X vence
0,-1,1,-1,1,0,1,0,0,X vence
1,1,1,0,-1,0,-1,0,0,X vence
1,1,1,1,0,-1,0,-1,-1,X vence
-1,1,-1,-1,1,0,1,1,0,X vence
1,0,-1,1,1,-1,0,-1,1,X vence
0,-1,1,-1,0,-1,1,1,1,X vence
1,-1,0,1,-1,0,1,1,-1,X vence
1,1,-1,1,-1,0,1,0,-1,X vence
0,1,0,-1,1,-1,-1,1,1,X vence
-1,1,0,0,-1,-1,1,1,1,X vence
1,1,-1,1,-1,1,1,-1,-1,X vence
1,1,1,-1,-1,1,-1,-1,1,X vence
0,-1,1,-1,1,1,1,-1,0,X vence
-1,1,1,-1,1,0,0,1,-1,X vence
1,-1,-1,1,0,-1,1,1,0,X vence
-1,0,-1,-1,1,0,1,1,1,X vence
-1,1,-1,0,1,1,-1,1,0,X vence
1,-1,0,-1,1,0,0,0,1,X vence
1,-1,1,0,1,-1,1,0,-1,X vence
-1,-1,1,-1,0,1,0,1,1,X vence
0,1,1,0,1,-1,1,-1,-1,X vence
1,-1,-1,-1,-1,1,1,1,1,X vence
1,1,1,1,0,-1,-1,-1,0,X vence
-1,-1,0,1,1,1,1,-1,0,X vence
1,0,1,0,-1,1,-1,-1,1,X vence
-1,-1,0,1,1,1,1,0,-1,X vence
0,0,-1,1,1,1,-1,0,0,X vence
1,0,-1,0,1,1,-1,-1,1,X vence
1,1,-1,1,0,-1,1,-1,0,X vence
1,0,0,-1,1,0,0,-1,1,X vence
-1,1,1,0,1,-1,0,1,-1,X vence
-1,1,-1,1,1,1,-1,-1,1,X vence
-1,-1,1,0,0,1,1,-1,1,X vence
0,-1,1,-1,0,1,1,-1,1,X vence
1,0,-1,1,-1,1,1,-1,0,X vence
0,1,-1,-1,1,0,0,1,0,X vence
-1,1,1,-1,1,-1,1,1,-1,X vence
1,-1,-1,1,1,-1,0,0,1,X vence
1,1,1,0,0,0,-1,-1,0,X vence
1,1,-1,-1,1,0,-1,1,0,X vence
-1,1,-1,1,1,1,-1,0,0,X vence
1,1,1,0,-1,0,0,0,-1,X vence
1,1,1,-1,1,-1,-1,0,0,X vence
-1,-1,1,-1,1,1,1,1,-1,X vence
1,-1,0,1,0,-1,1,0,0,X vence
1,1,-1,-1,1,-1,1,-1,1,X vence
0,1,0,0,1,-1,-1,1,0,X vence
1,-1,1,1,-1,0,1,0,-1,X vence
-1,-1,0,-1,1,0,1,1,1,X vence
-1,0,1,-1,0,1,1,-1,1,X vence
1,1,1,-1,-1,0,0,0,0,X vence
1,1,1,1,-1,-1,1,-1,-1,X vence
0,0,-1,0,-1,0,1,1,1,X vence
-1,1,-1,-1,1,0,0,1,1,X vence
-1,-1,1,1,1,0,1,0,-1,X vence
-1,1,0,0,1,-1,0,1,0,X vence
